page,rank,product_name,price,listed_at,country,shop,shop_total_sales,category,commission,sales_period,sales_growth,gmv_period,total_sales,total_gmv
5,109,Doores Clip in Hair Extensions 120g 7pcs 150g 9pcs 100% Human Hair Straight for Daily Use & Special Occasions for Women#tiktokshopbacktoschool,$27.20 - 198.00,,美国,Doores Hair Extensions,12.21万,真人发接发&发片,5%,3521,22%,$11.07万,5.04万,$204.80万
5,110,UNice Glueless Yaki Straight Short Bob Wig with Drawstring Pre-cut 7x5 HD Lace Human Hair Wigs with Bleached Knots Beginner Friendly Natural Hairline Summer Wig SummerArrvials #SoHoChic #TikTokShopBackToSchool,$90.00 - 115.00,,美国,UNICE,52.15万,真人发发块头套,3%,3505,334.32%,$33.41万,2.60万,$229.49万
6,121,"Women's Multicolor Sports Headbands, Workout Headbands, Leopard Print Elastic Sweat Absorbent Hair Bands, Suitable for Yoga Running Skincare Fashion Accessories",$1.89 - 4.04,,美国,Shenzhen Songlin,15.94万,头绳,8%,3374,666.82%,$6963.34,8287,$1.80万
6,122,OQ HAIR Burmese Curly Crochet Hair Natural Black Machine Made Feather Crochet Human Hair Extension Miracle Knots Boho Braids #SohoChic #TikTokShopBackToSchool #DealsForYouDays,$68.00 - 311.00,,美国,OQ HAIR SHOP,112.19万,真人发全机制头套,3%,3371,176.77%,$24.90万,9691,$71.33万
6,123,"JBextension 1 Pieces Beige Wig Cap, Wig Caps for Women Lace Front Wig Stocking Caps for Wigs Nude Wig Cap Beige Wig Cap 1 Pcs",$6.29,,美国,Jbextension.usa,89.20万,帽子,10%,3361,202.52%,$2.49万,7.29万,$44.31万
6,124,"Men's New Full Frame Square Glasses, Retro Dual Bridge Design, Imitation Wood Texture Temples, Metal Frame, Classic Fashion Decorative Eyewear, Trendy Vintage Eyeglasses, Square Frames Eyeglasses, Fashionable Frames Glasses, Stylish Trendy Eyewear",$2.50,,美国,GM Glaases,4.96万,太阳镜,8%,3360,191.67%,$9137.75,1.03万,$3.05万
6,125,UNice 250% Density Reddish Brown Fluffy Afro Kinky Curly with Layered Finger Coil Ends Glueless 7x5 HD Lace Closure Human Hair Wigs No Slip Beginner-Friendly Natural Looking Summer Wig SummerArrvials #SoHoChic #TikTokShopBackToSchool,$119.00 - 170.00,,美国,UNICE,52.15万,真人发发块头套,3%,3354,32.99%,$40.47万,2.42万,$271.75万
6,126,"Paleshy 4-Pack Women's Blue Light Blocking Glasses - Anti- Round Face Eyewear Set, 4 Fashion Frame Colors | Internet Celebrity Style Windproof No-Makeup Essential",$10.66,,美国,Elegant&Pure Shop,6.21万,镜框与镜片,15%,3348,67.23%,$4.03万,5.14万,$68.60万
6,127,"Women's Round Dial Analog Quartz Watch, Luminous Watch for Party, Daily Clothing Decor, All-match Waterproof Watch for Birthday Gift with Box, Casual Stainless Steel Wristwatch, Quartz Wrist Watches",$14.10 - 43.50,,美国,POEDAGAR SSS,30.72万,女表,8%,3345,24.49%,$4.31万,4.07万,$53.84万
6,128,"Women's 10PCS 2in Metal Hairpins Kit - All-Seasons, Fade-Resistant Black Finish, Secure-Hold Bobby Pins for All Hair Types, Daily Use & Hairdressing Salons, 2 Inches",$31.90,,美国,WIG QUEEN,14.45万,发夹发簪,5%,3279,17.36%,$11.92万,6910,$25.35万
